battery,t_bucket,arr,bp,fever,action,q
10,44,1,0,0,0,2,251.07416769045273
10,45,0,1,0,1,5,247.79770652303293
10,46,0,1,0,0,7,265.4117356065814
10,47,0,1,0,0,0,249.9722646552029
10,48,0,0,0,0,0,253.38275640544373
10,49,0,0,0,0,2,247.6093511624888
10,50,1,0,0,0,4,269.8630854701659
10,51,0,0,1,1,2,258.9886863013011
10,52,1,0,0,0,1,261.32810760663307
10,53,0,0,0,1,5,256.69271790520895
10,54,1,1,0,0,3,266.08287086238886
10,55,0,0,0,1,2,255.80064428680333
10,56,0,1,1,0,6,264.9834319361095
10,57,0,0,0,0,7,251.41708715931895
10,58,0,0,0,0,7,249.76983965584353
10,59,1,0,0,0,5,267.1190932720245
10,0,1,0,0,1,0,249.89658617734463
10,1,0,0,0,1,1,248.797950067587
10,2,0,0,1,0,4,249.24089560134647
10,4,0,1,0,0,7,269.0238104174411
10,5,1,0,0,0,3,262.38274162880043
10,6,0,0,0,1,7,257.25134264063354
10,7,0,1,0,0,7,267.7365032728488
10,8,1,1,0,0,2,268.17244602397693
10,9,0,1,0,1,0,253.8339118029546
10,10,1,1,0,0,3,277.11058653022747
10,11,1,1,0,1,1,269.53725768863984
10,12,1,0,0,1,6,263.17036086675085
10,13,0,0,1,1,3,263.96399743566735
10,14,0,0,0,0,5,251.36459332050504
10,15,1,0,1,0,3,271.1718491386046
10,16,0,0,1,1,3,271.7958121878524
10,17,1,1,0,0,4,269.84804879233747
10,18,1,1,0,1,1,256.9082484066798
10,19,1,1,0,1,4,268.3883896630995
10,20,0,0,0,1,0,246.22093249147588
10,21,0,0,0,0,6,247.15189169749178
10,22,0,1,0,0,4,258.36528610758063
10,23,0,0,0,0,1,250.73775825018583
10,24,0,0,0,0,3,252.37000994761326
10,25,0,0,0,0,0,248.89280758532104
10,26,0,1,0,0,4,258.09264653444296
10,27,0,1,0,0,7,271.3137480390784
10,28,0,1,0,0,4,254.12548060879362
10,29,0,0,0,0,0,257.6367956182674
10,30,1,1,0,0,7,285.7522502887664
10,31,0,0,0,1,3,255.57470305417263
10,32,1,0,0,0,5,267.38502868761503
10,33,1,1,0,1,5,270.3179659202946
10,34,0,1,0,1,4,259.2972014227424
10,35,0,0,0,0,3,250.03878131865247
10,36,0,1,0,0,7,266.4250310764064
10,37,0,0,0,0,2,250.3068736130245
10,38,0,1,1,0,3,279.8641583521439
10,39,0,0,0,0,2,253.08634414512144
10,40,0,0,0,0,4,253.46098025652432
10,41,0,1,0,0,7,265.12031760500696
10,42,0,0,0,0,1,250.03667669027925
10,44,0,1,0,0,0,250.1936758424151
10,45,0,0,1,0,5,263.9301506943559
10,46,0,1,0,0,4,256.480204902857
10,47,1,1,0,0,0,250.75082745175393
10,48,0,0,0,1,0,250.36398714196082
10,49,1,1,1,0,0,261.2810801276431
10,50,0,0,1,1,6,260.3860316695154
10,51,0,0,1,0,0,252.80684003265702
10,52,0,1,0,0,1,258.34001974850725
10,53,0,0,0,0,3,249.7359603943287
10,54,0,0,0,0,1,251.71147414511228
10,55,1,1,0,0,3,269.0187999968733
10,56,1,0,1,1,6,272.92986759071846
10,57,1,1,0,1,3,274.4866821755369
10,58,0,0,0,1,3,251.95618116765198
10,59,0,0,0,0,1,246.91449002683882
10,0,1,0,0,0,2,255.2238546383155
10,1,0,1,0,1,3,268.2854320997391
10,3,1,0,0,0,4,269.9520487349795
10,4,0,0,0,1,6,254.69550818837968
10,5,0,1,0,0,7,264.56569317404234
10,7,1,0,0,0,7,266.00965056634436
10,8,0,0,0,1,6,250.54298580803288
10,9,0,1,0,0,7,263.59081443788574
10,10,0,0,0,0,0,249.39135816142846
10,11,0,0,0,0,2,260.4267576260027
10,12,1,0,0,0,7,268.6815622809513
10,13,0,1,0,1,4,257.40988988388955
10,15,1,0,0,0,6,269.7309819360226
10,16,0,0,1,1,5,272.25355672565644
10,17,0,1,0,0,7,268.7106316440734
10,18,1,0,0,0,4,265.0721020066473
10,19,0,1,0,1,1,259.2605923077802
10,20,0,1,0,0,0,253.92275769589287
10,21,0,1,0,0,6,271.6256086168741
10,23,0,0,0,0,4,248.70441314583897
10,24,0,0,0,0,4,252.17045558157147
10,25,0,1,0,0,1,256.94671037052734
10,26,0,1,0,0,2,265.24261327462693
10,27,0,0,0,0,1,253.69439055397459
10,28,1,0,0,0,0,268.20714835581606
10,29,0,1,0,1,1,258.2185468855374
10,30,0,1,0,0,7,273.26857565478133
10,31,0,0,0,0,6,251.24192755305575
10,32,0,0,0,0,6,255.0192428059677
10,33,1,0,0,0,7,276.7001857422103
10,34,1,0,1,1,1,275.6092018842735
10,35,0,1,0,1,7,263.0431435058881
10,36,0,0,0,0,6,250.59414034779653
10,38,1,1,0,0,4,276.0030772789599
10,39,0,0,0,1,3,254.06422959914252
10,40,1,0,0,0,2,257.9150681758556
10,41,0,0,0,1,7,251.55519952063088
10,42,0,0,0,0,6,250.31177715142024
10,43,0,1,0,0,2,266.7351712310946
10,44,1,0,0,0,6,261.37376479285723
10,45,0,1,0,1,6,267.2573215268873
10,47,0,1,0,0,7,264.9680197409217
10,48,0,0,0,0,2,250.34964380227302
10,49,1,1,0,0,4,266.9254319017714
10,50,0,0,0,1,7,252.2386378202587
10,51,1,1,0,0,3,272.6404640875073
10,52,1,0,1,1,7,283.2451050803366
10,53,0,1,0,1,3,269.18409441476996
10,54,1,0,0,0,3,255.7986417172811
10,55,0,1,0,1,3,270.28063557146925
10,56,0,0,1,0,5,266.6536477284262
10,57,0,1,0,0,4,255.64980648129148
10,58,1,1,1,0,3,286.59653866223084
10,0,0,1,0,1,7,261.9177714244248
10,1,0,0,0,0,5,249.43425661923538
10,2,1,0,0,0,7,262.2676448459291
10,3,0,1,0,1,4,260.3465226522507
10,4,1,0,1,0,0,254.5609812347547
10,6,0,1,0,0,6,269.64723268512176
10,7,0,1,0,0,2,269.7890712421785
10,8,0,1,1,0,1,267.1229325735183
10,9,0,1,0,0,5,251.15682652145713
10,10,0,1,0,0,1,256.97842213941436
10,11,1,0,0,0,2,255.83180467482435
10,12,0,0,0,1,4,259.1849623872079
10,13,1,0,0,0,7,271.4183633307201
10,14,1,1,0,1,3,274.23704636865244
10,15,1,0,1,1,4,281.12867842107187
10,16,1,0,0,1,1,249.60456834562538
10,17,0,0,0,1,2,257.31350104869284
10,18,0,0,0,0,2,248.53531923498758
10,19,0,0,0,0,5,250.714596395341
10,20,0,0,1,0,0,248.4934681801388
10,22,1,0,0,0,2,250.85854981497977
10,23,0,1,0,1,5,261.33384013824224
10,24,0,1,0,0,0,260.7252268034813
10,25,0,0,0,0,2,249.8564972516231
10,26,0,1,1,0,1,267.0739608851162
10,27,0,0,0,0,0,256.43239744143887
10,28,1,0,0,0,3,268.10960858586753
10,29,0,0,0,1,4,257.3565836265417
10,30,0,0,1,0,6,257.0651700358326
10,31,0,0,0,0,5,253.04892308133242
10,32,0,1,0,0,6,270.5615427759732
10,34,0,1,0,1,0,263.8743085870706
10,35,0,0,0,0,0,250.2568311784899
10,36,1,0,1,0,3,270.4194457591811
10,37,1,0,0,1,5,275.27079487516977
10,38,0,1,0,1,4,259.01311725613215
10,39,0,0,0,0,7,251.95599517057911
10,40,0,0,0,0,6,254.18838865914768
10,41,0,0,1,0,1,273.5115544034989
10,42,1,1,0,0,2,272.8516469299743
10,43,1,0,0,1,0,251.3199276924354
10,44,1,0,1,1,3,277.27881450450644
10,45,0,1,0,1,7,263.32749850488113
10,46,0,0,0,0,7,249.3665420446949
10,47,0,0,0,0,3,254.93162355456445
10,48,1,1,0,0,1,250.63006400248935
10,49,1,0,1,1,0,269.56704357112903
10,50,1,1,0,1,0,256.3956649553967
10,51,0,1,0,1,2,265.6392069396731
10,52,1,1,0,0,7,285.838813298914
10,53,0,1,0,1,4,252.60400298818305
10,55,0,0,1,0,1,275.28740193694244
10,56,0,1,0,0,5,253.35027859825095
10,57,0,0,0,0,1,251.0176566554527
10,58,0,1,0,0,7,267.5256674092901
10,59,0,0,0,0,3,248.26603356888066
10,0,1,0,1,0,2,251.53412163242388
10,1,0,1,0,1,1,258.5165231651726
10,2,0,0,0,0,2,253.0725797344427
10,3,0,1,0,0,6,268.63554014636804
10,4,1,0,0,0,3,256.58863801087284
10,5,0,0,0,1,3,252.3822778654796
10,7,0,0,0,0,5,260.76828581770366
10,8,0,0,1,0,4,259.02743527135993
10,9,1,0,1,0,5,283.54962071266954
10,10,0,1,0,1,3,272.4920644748744
10,11,0,1,0,0,7,266.16835198163244
10,12,0,0,0,0,7,247.73838815006224
10,13,1,1,0,0,7,286.2650162418667
10,14,0,0,1,1,7,271.8629174606324
10,15,0,0,0,0,5,249.29988738989334
10,16,0,0,0,0,0,251.60784711281568
10,17,0,1,0,0,5,252.00332823605805
10,18,0,1,0,0,6,270.2506768338946
10,19,0,1,0,0,3,264.97275574334054
10,20,1,0,1,0,7,285.15540948344386
10,21,0,0,0,1,7,258.4850344306929
10,22,0,1,0,0,6,269.87995338439026
10,23,1,1,0,0,7,284.3895685845471
10,24,0,1,0,1,5,253.3526502377537
10,25,0,1,1,0,4,255.63512517907895
10,26,0,0,1,0,3,268.3817024891522
10,27,1,1,0,0,7,288.29877019772556
10,28,0,1,0,1,0,257.1377328354264
10,29,0,1,0,0,1,254.5909057937619
10,30,0,0,0,0,4,252.0034475695397
10,31,0,0,1,0,4,259.072481480446
10,32,0,0,0,0,2,255.23461715538255
10,33,0,0,1,0,2,260.45666249816145
10,34,0,0,0,0,1,250.9328892302853
10,35,1,0,0,0,2,263.3398045361407
10,37,0,0,0,0,1,251.51352872968252
10,38,0,1,0,0,6,266.0247196479135
10,39,0,1,0,0,6,263.8644899247381
10,40,1,0,0,0,1,252.69255973169652
10,41,1,0,0,1,1,257.6908240102048
10,42,0,0,0,1,6,251.48355735676535
10,43,0,0,0,0,1,249.0351087245799
10,45,0,0,0,1,2,246.6882529521123
10,46,1,0,0,0,1,250.56523882294732
10,47,0,0,0,1,0,251.65834196317599
10,48,0,0,0,0,3,248.01153887764312
10,50,0,0,0,0,1,250.1260780640361
10,51,1,0,1,0,4,268.7398580558278
10,52,0,1,0,1,3,267.04922760588795
10,53,1,0,0,0,6,273.47765554213623
10,54,1,0,1,1,4,274.5169683591157
10,55,1,1,0,1,5,272.5852178720411
10,56,1,0,0,1,6,270.7555367040433
10,57,1,1,0,1,2,268.7573983494676
10,58,1,0,0,1,5,265.33555054696444
10,59,0,0,1,1,6,257.0850518998204
10,0,0,0,0,0,3,248.17336519607602
10,1,1,0,0,0,6,267.3912711525807
10,2,0,1,0,1,0,258.5340879489473
10,3,1,0,0,0,6,268.0329598607053
10,4,0,1,0,1,2,265.00205721527533
10,5,0,0,1,0,1,270.222310767215
10,6,0,0,0,0,0,256.5384790567285
10,7,0,0,0,0,7,255.10898670624618
10,8,1,0,0,0,5,275.6721279180348
10,9,0,0,0,1,5,251.01609083791988
10,10,1,0,1,0,3,272.05877266512334
10,11,1,0,0,1,4,268.0988334435947
10,12,0,0,0,1,0,256.14156688838926
10,14,0,1,0,1,2,267.64861568186296
10,15,0,1,0,0,1,253.91112942809866
10,16,0,1,0,0,3,263.54035812236185
10,17,0,1,0,0,4,253.1558660654026
10,18,1,0,0,0,1,253.07594113161306
10,19,0,1,1,1,3,279.03559753769713
10,20,0,0,1,0,6,249.85573907045483
10,21,0,1,0,0,7,264.12286410886924
10,22,0,0,0,0,4,252.6268490542499
10,23,1,0,0,0,4,265.22859944763
10,24,0,0,0,1,4,251.3353173671274
10,25,0,0,0,0,5,250.11375386830434
10,26,0,0,0,0,6,251.91264788130005
10,27,1,0,0,0,7,272.42990289546447
10,28,1,1,0,1,0,273.711006950574
10,29,1,0,1,1,4,279.76780188463147
10,30,0,1,1,1,4,271.0429923667389
10,31,1,1,0,0,0,255.0965155896779
10,32,1,0,0,1,1,253.17194001664566
10,33,0,1,0,1,2,273.06318044290686
10,34,0,0,1,0,4,257.3148482548307
10,35,0,1,0,0,5,256.8953035008126
10,36,0,1,0,0,2,269.4665952651738
10,38,1,0,1,0,6,267.0346364642646
10,40,0,0,0,0,3,253.37155893240657
10,41,0,0,0,0,0,255.6933931433963
10,42,1,0,0,0,7,274.5549890893883
10,43,0,0,1,1,1,269.38277214530126
10,44,0,1,0,0,6,259.1496676641027
10,45,0,0,0,0,7,249.24234841456533
10,46,1,0,0,0,3,253.24117376126486
10,48,1,1,0,0,2,264.6977523027998
10,49,1,0,0,1,1,258.10206024444653
10,50,0,0,0,1,5,247.89370583334113
10,51,0,1,0,0,4,256.48088362440376
10,52,0,0,0,0,2,248.23869281359993
10,53,0,0,0,0,6,249.73677565100203
10,55,0,0,1,0,6,260.21532817463856
10,56,0,0,0,0,6,248.48817060806164
10,57,0,1,0,0,7,267.6599799482895
10,58,0,0,1,0,4,261.05165378238434
10,59,0,1,1,0,1,269.9115792289766
10,0,1,0,0,0,6,263.3743989349373
10,1,1,1,1,1,2,284.5280861300993
10,2,0,1,0,1,4,261.8616622331245
10,3,0,1,0,0,3,265.42228569415386
10,5,0,0,0,1,2,250.9004365348226
10,6,1,0,0,0,7,275.08765231814374
10,7,1,0,1,1,4,275.3535780397108
10,8,0,0,0,1,4,251.95634679089525
10,9,1,1,0,0,5,266.7208713100471
10,10,0,0,0,1,3,256.5515580906484
10,11,1,0,0,0,4,271.39349200613884
10,12,0,1,1,1,0,261.5489220060064
10,13,1,1,0,0,5,273.65931011653686
10,14,0,1,0,1,3,267.193983787725
10,16,0,0,0,0,1,253.0184506969149
10,17,1,0,0,0,7,262.68568922454295
10,18,0,0,0,1,4,251.7769779959686
10,19,0,0,0,0,2,250.73099947059544
10,20,0,0,0,0,2,252.98706061311856
10,21,0,0,0,0,7,248.1936188921055
10,22,0,0,0,0,0,253.2927844716965
10,23,1,0,0,0,7,266.79454735165126
10,24,0,0,0,1,3,254.811646651408
10,25,1,1,0,0,0,255.24842855492602
10,26,0,0,0,1,4,253.33199275717016
10,27,0,0,0,0,2,253.72220512447103
10,28,0,0,1,0,3,278.43723696718735
10,29,0,0,0,0,4,258.46258024263136
10,30,0,0,0,0,6,251.98167223206477
10,31,0,0,0,0,3,252.12995178427173
10,32,0,1,0,0,2,268.5432514067568
10,33,0,0,0,0,3,250.08352263609908
10,34,0,0,1,0,6,259.9889026357319
10,35,1,1,0,0,7,288.4134847025381
10,36,0,1,0,1,5,263.51489152217675
10,37,1,0,1,0,1,277.1781753419271
10,38,0,1,1,1,4,262.64259067677625
10,39,0,1,0,0,3,263.84616728005585
10,41,1,1,1,0,0,249.8190385514665
10,42,0,0,0,1,2,250.15876950182766
10,43,0,1,0,0,1,250.65656808336263
10,44,1,0,0,0,3,255.1657579001696
10,45,1,0,0,1,1,251.43616960443467
10,46,1,1,1,1,4,269.646612880637
10,47,0,0,0,1,2,254.80707270074768
10,48,1,0,0,0,0,252.02215173304106
10,49,1,0,1,1,5,296.6858129486834
10,50,0,1,1,1,7,301.2887598008142
10,51,1,0,1,0,5,285.8273466359153
10,52,1,1,0,1,6,283.54767801870594
10,55,1,1,0,1,4,274.6614272660945
10,56,1,0,0,1,0,259.9503713949509
10,57,0,1,0,1,6,262.5132418388553
10,58,0,1,1,0,7,283.9683231244298
10,59,0,1,0,0,7,270.61753395770467
10,0,1,0,0,0,5,270.1551157838018
10,1,1,0,0,1,6,265.25261606992916
10,2,0,0,0,1,5,257.04405851391346
10,3,0,1,0,0,1,254.6600156680605
10,5,0,1,0,0,6,265.94008751281666
10,7,0,1,0,0,5,252.64076807212484
10,8,0,1,0,0,4,247.26748213559867
10,9,1,0,0,0,7,274.26245519102025
10,10,0,1,0,1,7,272.1623834315484
10,11,0,1,1,0,2,274.35467075789904
10,12,1,0,1,0,5,276.4200660922114
10,13,1,0,0,1,0,246.06233239648708
10,14,0,0,0,1,0,249.21696982861275
10,15,1,0,0,0,4,267.3393060885969
10,16,0,1,1,1,2,279.1448978716797
10,17,0,0,1,0,6,253.71736837445513
10,18,0,1,0,0,7,270.1255411478974
10,19,1,1,0,0,7,276.7599831296894
10,20,0,1,0,1,0,254.35078692181577
10,21,0,0,0,0,5,248.12456078034347
10,22,1,0,0,0,5,263.815140204299
10,23,0,1,0,1,0,260.7277673290093
10,24,0,1,0,0,3,267.74322193346444
10,25,0,1,0,0,3,267.6339746310176
10,28,1,1,0,0,4,278.02591737956124
10,29,0,1,0,1,6,266.6768227245366
10,30,0,0,0,0,7,250.3053875619912
10,32,0,1,0,0,0,259.46194875159256
10,33,1,0,0,0,2,261.5155975640131
10,34,1,0,1,1,2,262.5102820263217
10,35,0,0,1,1,1,263.0718891253678
10,36,0,0,0,0,2,249.85493173098212
10,37,0,0,0,0,6,251.55140925255077
10,38,1,0,1,0,5,280.1001407171654
10,39,0,0,0,1,2,252.92019837008462
10,40,1,0,0,0,5,270.37590326413465
10,41,0,0,1,1,3,260.5134656077537
10,42,0,1,1,0,0,250.54733442411282
10,43,0,1,0,0,4,247.23658087552505
10,44,0,0,0,0,1,252.10371902703272
10,45,0,0,0,0,0,248.3951640442552
10,46,0,0,0,0,5,249.92094685331745
10,47,1,0,0,0,1,251.59104221451736
10,48,1,0,1,1,3,264.62443405390195
10,49,0,0,0,1,3,252.6948605101023
10,50,1,1,0,0,2,271.8289803502061
10,51,1,1,0,1,0,261.0708475386413
10,52,0,1,0,1,0,252.2208859968622
10,53,0,0,1,0,7,262.47195757447395
10,55,0,1,0,0,2,267.84156797607994
10,56,1,1,1,0,7,299.3157861386431
10,57,1,0,0,1,6,272.9622902393244
10,58,0,0,0,1,1,254.68610595253188
10,59,0,1,0,0,6,267.44366276520617
10,1,0,1,0,0,4,251.84712266772064
10,2,0,0,0,0,4,253.13057861699528
10,3,0,0,0,0,5,256.0109930305234
10,4,1,1,0,0,6,287.6034194515733
10,5,0,0,0,1,1,250.48263288765924
10,6,0,0,0,0,7,250.4771422248804
10,7,0,0,1,0,6,253.97314740347795
10,8,0,0,1,0,3,270.9065627121513
10,9,1,0,1,0,3,272.2865927867725
10,11,0,0,0,0,1,252.03574571556953
10,12,0,1,1,0,6,275.6576800784294
10,13,1,1,0,0,4,277.63873866698026
10,14,0,1,0,1,7,268.2065862813039
10,15,0,1,0,0,4,259.1629232842312
10,16,1,1,0,0,4,270.3718253948241
10,17,1,0,0,1,4,270.020113496686
10,18,1,0,0,1,1,259.9827644880876
10,19,0,0,0,1,1,262.287156991552
10,20,0,0,0,0,3,253.02297131669252
10,21,0,1,0,0,0,251.3600842371035
10,22,0,1,0,0,3,264.13946271486145
10,23,0,1,0,0,5,258.23199846681837
10,24,0,1,0,0,1,250.1118628241408
10,26,1,0,0,0,1,254.2908771831256
10,27,0,0,0,1,2,252.56642674161634
10,28,0,0,0,0,2,251.4557493418221
10,29,0,0,1,0,5,262.8588150585904
10,31,0,0,1,0,3,267.1085853510947
10,33,1,1,0,0,5,270.9182416440212
10,34,1,0,0,1,5,274.0745231931875
10,35,1,0,1,1,1,267.80444777906024
10,36,0,0,1,1,6,247.87753516869645
10,38,0,1,0,0,0,253.87620432867982
10,40,0,1,0,0,6,269.79758431417093
10,41,0,1,1,0,0,256.3151156553786
10,43,1,0,1,0,2,259.4361116880213
10,44,0,1,0,1,1,253.56257038478736
10,45,0,0,1,0,2,251.6880220784563
10,46,0,0,0,0,2,249.84723084534946
10,47,0,1,0,0,1,256.87246616839053
10,48,0,1,0,0,3,259.27622846362044
10,49,0,0,1,0,3,265.0181213483541
10,50,0,0,0,0,6,250.7894546179438
10,51,0,1,0,0,3,263.3130126943598
10,52,0,1,0,0,3,270.4444606066593
10,53,1,1,0,0,7,281.0951567137074
10,54,0,0,0,1,1,250.6673316958223
10,55,0,0,0,0,6,251.06196688862414
10,56,0,1,0,0,2,268.926185507908
10,57,0,0,1,0,3,267.7594274542138
10,58,0,0,0,0,0,250.778272431627
10,59,0,0,0,0,2,259.89338880263034
10,1,0,0,0,0,2,249.4896522775938
10,3,1,0,0,0,3,256.0988114281067
10,4,1,0,0,1,4,264.9800378127939
10,6,0,1,0,0,3,274.1137323468337
10,7,0,1,0,0,0,255.89664477913558
10,8,0,0,0,0,1,252.95065332728262
10,10,0,0,0,0,6,249.39583294489697
10,12,0,0,0,0,6,252.3594873851471
10,13,0,1,1,0,7,275.979273037315
10,14,0,1,0,0,1,250.89736030115114
10,15,1,0,0,0,0,255.03800381264318
10,16,1,0,0,1,4,265.3100781167422
10,17,0,0,0,1,4,252.09713932525912
10,18,0,0,1,0,4,258.5435936446546
10,19,1,1,0,0,3,259.7781590249357
10,24,1,0,0,1,5,269.11157015228434
10,25,0,0,0,1,5,250.77132279197812
10,26,1,0,0,0,5,264.4910392764777
10,27,1,0,0,1,2,264.4798453139982
10,28,0,0,0,1,4,253.51061228863205
10,29,0,1,0,0,2,269.5570046067849
10,30,0,0,0,0,3,251.17690978231926
10,32,0,0,0,0,1,254.70747733222237
10,33,0,0,0,0,2,251.3772218260237
10,34,0,0,1,0,0,258.0075662668105
10,35,0,1,0,0,6,267.3421939922883
10,36,1,1,0,0,5,271.292376745843
10,37,1,1,0,1,6,279.2689050262801
10,38,0,0,0,1,1,250.34674199358756
10,39,1,0,1,0,5,284.1660742463327
10,40,0,1,0,1,7,267.3966564450918
10,41,0,0,0,0,6,253.26326523444558
10,42,0,0,1,0,4,252.23974277973454
10,43,1,0,1,0,4,271.07599787120694
10,44,1,1,0,1,7,278.49880741533605
10,45,0,1,1,1,2,262.5450374239134
10,46,0,0,0,0,4,250.0200265374552
10,48,0,0,0,0,4,250.98806678721328
10,49,0,1,0,0,6,267.7593950963441
10,50,0,1,0,0,3,264.1452095038533
10,51,0,0,0,0,4,248.47028351004244
10,52,0,1,0,0,2,267.9180879807044
10,53,0,1,0,0,0,255.9329874649419
10,55,1,0,0,0,0,255.71538097026524
10,56,0,0,1,1,4,255.53567105455505
10,57,1,0,0,0,3,251.24615802273135
10,58,1,0,0,1,1,252.3498033239297
10,59,0,0,0,1,6,252.50001394430888
10,1,0,0,0,0,4,248.78644252367604
10,2,0,0,0,0,6,259.75442180887865
10,3,1,1,0,0,1,252.63783207999086
10,4,1,0,0,1,2,254.4112118437558
10,5,0,1,0,1,5,265.7973560864259
10,6,0,0,1,0,3,271.3738716933407
10,7,0,1,0,0,1,255.9058623231578
10,9,0,0,0,0,3,248.75651984903647
10,11,0,0,0,0,3,253.12090130024188
10,12,1,1,0,0,6,283.01508793072605
10,13,1,0,1,1,6,268.40901216282185
10,14,0,1,0,1,4,254.94517956726386
10,15,1,1,0,0,4,268.0537957225408
10,16,0,1,0,1,4,257.7824527393813
10,17,0,0,0,0,5,245.86322644148316
10,18,1,0,0,0,0,254.54992784659697
10,19,0,0,0,1,3,253.4530744701064
10,21,0,0,0,0,3,251.59991124793237
10,22,0,0,0,0,7,252.39013446077632
10,23,1,0,0,0,6,272.12915751930984
10,24,1,1,0,1,3,278.5820348357013
10,26,0,0,0,0,0,261.5902836215783
10,27,0,0,0,0,5,253.52192113855784
10,28,0,1,0,0,1,252.3396593598192
10,29,0,0,0,0,3,255.614203969768
10,30,1,0,0,0,6,275.3986620643284
10,31,1,1,0,1,7,288.8651759736695
10,32,0,0,0,1,4,254.78124726512252
10,33,1,1,0,0,4,269.56278573576844
